Name,Studio,UPC,Price,Category,ESRB,Platform,Released_on,Dimensions,Weight,Cover_image
 The Sims 2,Electronic Arts,0014633147261,29.99,PC,Teen,Windows XP,9/14/2004,5.4000 x 1.2000,0.7200 lbs.,https://secure.coverart.bookstores.com/large/469/3-7469.jpg
 The Sims 2 University Expansion Pack,Electronic Arts,0014633149173,19.99,PC,Teen,Windows XP,2/28/2005,5.5000 x 1.1000,0.5600 lbs.,https://secure.coverart.bookstores.com/large/310/3-7310.jpg
 The Sims 2 Holiday Edition,Electronic Arts,0014633151893,39.99,PC,Teen,Windows XP,11/15/2005,5.3000 x 1.1000,0.8000 lbs.,https://secure.coverart.bookstores.com/large/752/3-7752.jpg
 The Sims 2 H&M Fashion Stuff,Electronic Arts,0014633153668,19.99,PC,Teen,Windows XP,6/5/2007,5.4000 x 1.1000,0.4800 lbs.,https://secure.coverart.bookstores.com/large/534/3-7534.jpg
 The Sims 2: Bon Voyage,Electronic Arts,0014633153675,19.99,PC,Teen,Windows XP,9/4/2007,5.4000 x 0.6000,0.5000 lbs.,https://secure.coverart.bookstores.com/large/538/3-7538.jpg
 The Sims 2: FreeTime Expansion Pack,Electronic Arts,0014633153712,19.99,PC,Teen,Windows XP,2/26/2008,5.4000 x 1.1000,0.5000 lbs.,https://secure.coverart.bookstores.com/large/543/3-7543.jpg
 Harry Potter and the Half Blood Prince,Electronic Arts,0014633153873,19.99,PC,Everyone 10+,Windows XP,6/30/2009,5.3000 x 0.4000,0.4200 lbs.,https://secure.coverart.bookstores.com/large/647/3-7647.jpg
 The Sims 3: World Adventures Expansion Pack,Electronic Arts,0014633153934,29.99,PC,Teen,Windows Vista,11/17/2009,5.3000 x 0.5000,0.4000 lbs.,https://secure.coverart.bookstores.com/large/771/3-2771.jpg
 The Sims 2 Seasons Expansion Pack,Electronic Arts,0014633156218,19.99,PC,Teen,Windows XP,2/27/2007,5.4000 x 1.1000,0.5100 lbs.,https://secure.coverart.bookstores.com/large/804/3-7804.jpg
 Command & Conquer 3:Tiberium Wars DVD,Electronic Arts,0014633156294,29.99,PC,Teen,Windows XP,3/26/2007,5.4000 x 1.1000,0.6300 lbs.,https://secure.coverart.bookstores.com/large/601/3-7601.jpg
 The Sims 2: Double Deluxe,Electronic Arts,0014633159707,19.99,PC,Teen,Windows XP,4/15/2008,5.3000 x 1.1000,0.5800 lbs.,https://secure.coverart.bookstores.com/large/551/3-7551.jpg
 Mass Effect 2,Electronic Arts,0014633159813,19.99,PC,Mature,Windows XP,1/26/2010,Unknown,0.2500 lbs.,https://secure.coverart.bookstores.com/large/694/3-7694.jpg
 The Sims: Complete Collection,Electronic Arts,0014633164749,39.99,PC,Teen,Windows XP,11/1/2005,Unknown,0.8000 lbs.,https://secure.coverart.bookstores.com/large/747/3-7747.jpg
 The Sims 2: Fun with Pets Collection,Electronic Arts,0014633168563,19.99,PC,Teen,Windows XP,1/12/2010,Unknown,0.4400 lbs.,https://secure.coverart.bookstores.com/large/786/3-10786.jpg
 The Sims 3 Deluxe,Electronic Arts,0014633169324,49.99,PC,Teen,Windows XP,9/27/2010,Unknown,0.5300 lbs.,https://secure.coverart.bookstores.com/large/694/3-10694.jpg
 Battlefield Bad Company 2,Electronic Arts,0014633190366,19.99,PC,Mature,Windows XP,3/2/2010,5.3000 x 0.4000,0.3800 lbs.,https://secure.coverart.bookstores.com/large/711/3-7711.jpg
 The Sims 2: Apartment Life Expansion Pack,Electronic Arts,0014633190786,19.99,PC,Teen,Windows XP,8/26/2008,5.3000 x 0.6000,0.6000 lbs.,https://secure.coverart.bookstores.com/large/644/3-7644.jpg
 Dragon Age: Origins,Electronic Arts,0014633190946,29.99,PC,Mature,Windows XP,11/3/2009,Unknown,0.4500 lbs.,https://secure.coverart.bookstores.com/large/676/3-7676.jpg
 The Sims Medieval,Electronic Arts,0014633194548,19.99,PC,Teen,Windows XP,3/22/2011,Unknown,0.4000 lbs.,https://secure.coverart.bookstores.com/large/788/3-10788.jpg
 Dead Space 2,Electronic Arts,0014633195392,19.99,PC,Mature,Windows XP,1/25/2011,5.2000 x 0.6000,0.4200 lbs.,https://secure.coverart.bookstores.com/large/370/3-56370.jpg
 The Sims 3: Generations,Electronic Arts,0014633195736,39.99,PC,Teen,Windows XP,5/31/2011,5.2000 x 0.3000,0.4000 lbs.,https://secure.coverart.bookstores.com/large/921/3-56921.jpg
 Mass Effect 3,Electronic Arts,0014633195835,29.99,PC,Mature,Windows XP,3/6/2012,5.3000 x 0.6000,0.5500 lbs.,https://secure.coverart.bookstores.com/large/831/3-56831.jpg
 Monster Rancher 2,Playstation 1,0018946010090,1.0,PC,Everyone,Windows XP,4/10/2038,Unknown,0.2000 lbs.,https://secure.coverart.bookstores.com/large/914/3-2914.jpg
 Baldur's Gate: Dark Alliance,Playstation 2,0020626714570,1.0,PC,Teen,Windows XP,4/7/2041,5.4000 x 0.6000,0.5300 lbs.,https://secure.coverart.bookstores.com/large/621/3-3621.jpg
 Empire Earth Gold,Vivendi Universal,0020626719773,9.99,PC,Teen,Windows Me,3/4/2003,5.4000 x 2.2000,1 lbs.,https://secure.coverart.bookstores.com/large/837/3-57837.jpg
 StarCraft II: Wings of Liberty,Blizzard Entertainment,0020626728386,19.99,PC,Teen,Windows 7,7/27/2010,Unknown,0.7800 lbs.,https://secure.coverart.bookstores.com/large/650/3-10650.jpg
 Star Wars: Knights of the Old Republic II - Sith Lords,Unknown,0023272326104,49.95,PC,Everyone,Windows XP,10/5/2037,Unknown,0.4500 lbs.,https://secure.coverart.bookstores.com/large/533/3-12533.jpg
